commit,author,date,title,faultID,file
8925950,Jaime Fernandez,2015-05-06 00:09:03,BUG: Fix interp issues with small arrays,5705
45bbce7,Jaime Fernandez,2015-04-27 05:59:34,MANT: Turn deprecated dtype string warnings into errors,5790,numpy/core/tests/test_datetime.py
45bbce7,Jaime Fernandez,2015-04-27 05:59:34,MANT: Turn deprecated dtype string warnings into errors,5790,numpy/core/tests/test_dtype.py
93bcedf,Charles Harris,2015-05-04 19:13:25,Merge pull request #5836 from rgommers/bento-sgemv-fix,5831
7a02544,Ralf Gommers,2015-05-04 21:46:57,BLD: use fix for Accelerate SGEMV issue in Bento build.  See gh-5831.,5831
6049c66,Jaime Fernandez,2015-05-03 05:23:33,BUG: Fix segfault in frompyfunc with nout=0,2014,numpy/core/tests/test_regression.py
d7ffaea,Gerrit Holl,2015-01-28 19:25:30,TST: Add test for fix to issue #2972,2972,numpy/ma/tests/test_core.py
a7d663f,Gerrit Holl,2015-01-28 19:25:07,BUG: Fix mask assignment in masked_where to use .mask property.,2972,numpy/ma/core.py
fee5ec4,Matthew Brett,2015-04-29 13:00:15,"BUG: fix f2py shebang line for bdist wheel, egg",5812,numpy/f2py/setup.py
2a8efb1,Jaime Fernandez,2015-04-27 06:12:56,BUG: make empty inputs to ix_ create an empty int typed output,5804,numpy/lib/index_tricks.py
fbd3817,behzad nouri,2015-04-25 10:18:18,BUG: Fixes random.noncentral_chisquare when 0 < df <= 1,5766,numpy/random/tests/test_random.py
efcf028,Julian Taylor,2015-04-19 14:45:42,Merge pull request #5774 from rgommers/gfortran-version,5768
73471de,Ralf Gommers,2015-04-19 14:28:24,BLD: distutils: more robust gfortran version checking.  Closes gh-5768.,5768,numpy/distutils/fcompiler/gnu.py
73471de,Ralf Gommers,2015-04-19 14:28:24,BLD: distutils: more robust gfortran version checking.  Closes gh-5768.,5768,numpy/distutils/tests/test_fcompiler_gnu.py
524208a,Ralf Gommers,2015-04-05 09:37:39,"MAINT: add a warning filter for possible ""ndarray size changed"" Cython noise.",432,numpy/__init__.py
c3cd4bf,Jaime,2015-04-04 00:24:17,Merge pull request #5742 from charris/add-test-to-gh-5732,5732
61a546d,jmrosen155,2014-09-27 13:56:07,BUG: Integer list passed into nan_to_num results in ValueError.,1478,numpy/lib/type_check.py
9713a27,Blake Griffith,2015-03-26 15:20:47,TST: Regression test for gh-5719,5719,numpy/core/tests/test_dtype.py
6ac5172,Jaime Fernandez,2015-03-12 22:01:53,BUG: ufunc.at only works on single output ufuncs,5665,numpy/core/tests/test_ufunc.py
c4db04b,jaimefrio,2015-03-12 11:49:05,BUG: check for nargs <= NPY_MAXARGS in ufunc constructor,5672,numpy/core/tests/test_regression.py
fd3b0fc,Jaime,2015-03-12 17:58:02,Merge pull request #5585 from Kreiswolke/BugFixTile,4679
f1cfc4f,Charles Harris,2015-03-11 10:07:53,BUG: loadtxt fails with complex data in Python 3.,5655,numpy/lib/npyio.py
f1cfc4f,Charles Harris,2015-03-11 10:07:53,BUG: loadtxt fails with complex data in Python 3.,5655,numpy/lib/tests/test_io.py
a5ea773,Oliver Eberle,2015-02-19 15:24:47,BUG: Fixed issue #4679 and added test,4679,numpy/lib/shape_base.py
a5ea773,Oliver Eberle,2015-02-19 15:24:47,BUG: Fixed issue #4679 and added test,4679,numpy/lib/tests/test_shape_base.py
b69035e,Charles Harris,2015-01-21 17:26:01,Merge pull request #5475 from ContinuumIO/pickle_string_fix,3926
c51770d,Jay Bourque,2015-01-21 13:08:50,BUG: Fix #3926: pickling empty string fails,3926,numpy/core/tests/test_regression.py
a8b6452,Charles Harris,2015-01-17 12:42:28,Merge pull request #5459 from rgommers/pareto-docstring,4181
fea2ebb,Ralf Gommers,2015-01-06 22:11:46,DOC: fix a few bugs in the random.pareto docstring.  Closes gh-4181.,4181
103fee0,Ryan Nelson,2014-12-05 11:39:39,TST: Update assert_array_almost_equal_nulp tests,347,numpy/testing/tests/test_utils.py
3a9b333,Charles Harris,2015-01-02 13:54:47,Merge pull request #5413 from rgommers/link-format-nep,4523
20bc2eb,Ralf Gommers,2015-01-02 13:14:58,DOC: link to the npy-format NEP in numpy.npyio docs.  Closes gh-4523.,4523,numpy/lib/npyio.py
2070ecf,Charles Harris,2014-12-12 15:24:45,Merge pull request #5358 from Garrett-R/fix_bug_2015,2015
819b3a8,Garrett-R,2014-12-08 20:33:48,BUG: Closes #2015: diag returns ndarray,2015,numpy/core/fromnumeric.py
819b3a8,Garrett-R,2014-12-08 20:33:48,BUG: Closes #2015: diag returns ndarray,2015,numpy/lib/twodim_base.py
819b3a8,Garrett-R,2014-12-08 20:33:48,BUG: Closes #2015: diag returns ndarray,2015,numpy/matrixlib/tests/test_numeric.py
b3121e8,Ryan Nelson,2014-12-02 08:46:58,BUG: Rename fft C functions to avoid name conflict,565
f7eb37f,Charles Harris,2014-11-30 12:20:48,Merge pull request #5324 from Garrett-R/fix_bug_2917,2917
b82388e,Garrett-R,2014-11-29 23:35:56,BUG: Closes #2917: numpy.lib._iotools.StringConverter.upgrade return,2917,numpy/lib/_iotools.py
b82388e,Garrett-R,2014-11-29 23:35:56,BUG: Closes #2917: numpy.lib._iotools.StringConverter.upgrade return,2917,numpy/lib/tests/test__iotools.py
1d6ef52,Charles Harris,2014-10-09 15:03:25,BUG: Make f2py work with intent(in out).,479,numpy/f2py/crackfortran.py
dc45391,Charles Harris,2014-10-03 20:03:31,BUG: Make numpy import when run with Python flag '-OO'.,5148,numpy/lib/tests/test_function_base.py
dc45391,Charles Harris,2014-10-03 20:03:31,BUG: Make numpy import when run with Python flag '-OO'.,5148,numpy/lib/tests/test_utils.py
dc45391,Charles Harris,2014-10-03 20:03:31,BUG: Make numpy import when run with Python flag '-OO'.,5148,numpy/ma/extras.py
74ae35d,Masud Rahman,2014-09-27 15:28:05,Throws if range is too large for 'random.uniform',2138,numpy/random/tests/test_random.py
5a14415,Julian Taylor,2014-09-19 21:30:19,BUG: fix out of bound access in unicode argmin/argmax,5082,numpy/core/tests/test_multiarray.py
42aa77f,Charles Harris,2014-08-29 10:55:15,MAINT: Remove references to missing files from install.,5010,numpy/f2py/setup.py
42aa77f,Charles Harris,2014-08-29 10:55:15,MAINT: Remove references to missing files from install.,5010,numpy/lib/setup.py
4125912,seberg,2014-08-16 10:22:50,Merge pull request #4968 from WarrenWeckesser/bug-genfromtxt,2317
9c76897,Warren Weckesser,2014-08-15 19:24:37,BUG: io: genfromtxt did not handle filling_values=0 correctly. Closes gh-2317.,2317,numpy/lib/npyio.py
9c76897,Warren Weckesser,2014-08-15 19:24:37,BUG: io: genfromtxt did not handle filling_values=0 correctly. Closes gh-2317.,2317,numpy/lib/tests/test_io.py
9e8c1ad,Julian Taylor,2014-07-18 23:18:54,DOC: add ascontiguousarray and asarray_chkfinite to appropriate section,4890
e20d4b9,Julian Taylor,2014-06-23 22:44:05,BUG: handle rounding issue with histogram edges on float32 data,4799,numpy/lib/function_base.py
e20d4b9,Julian Taylor,2014-06-23 22:44:05,BUG: handle rounding issue with histogram edges on float32 data,4799,numpy/lib/tests/test_function_base.py
5a52edd,Julian Taylor,2014-06-11 21:33:16,DOC: fix a couple mistakes in the indexing documentation,618
6e2a69b,Julian Taylor,2014-06-11 21:14:12,DOC: remove wrong mention of .gz in np.load,312,numpy/lib/npyio.py
e2e49c7,Julian Taylor,2014-06-04 23:58:38,BUG: fix where not filling string types properly,4778,numpy/core/tests/test_multiarray.py
9430c7d,Frederik Rietdijk,2014-05-24 17:48:52,Docs: fix numpy.fft.fft2 example,4736,numpy/fft/fftpack.py
a075dcb,Ralf Gommers,2014-05-24 16:31:02,"DOC: tweak gufunc API documentation, remove broken link.  Closes gh-4726.",4726
0d483a7,Julian Taylor,2014-05-22 22:05:21,BUG: check if openblas embeds lapack,4192,numpy/distutils/system_info.py
27bfcdb,Charles Harris,2014-05-06 17:13:34,Merge pull request #4656 from foogod/master,4655
5286f5e,Alex Stewart,2014-05-06 11:49:23,Added regression tests for #4655,4655,numpy/fft/tests/test_fftpack.py
9b8f6c7,Sebastian Berg,2013-07-25 16:10:54,DEP: Deprecate that comparisons ignore errors.,3759,numpy/core/numeric.py
9b8f6c7,Sebastian Berg,2013-07-25 16:10:54,DEP: Deprecate that comparisons ignore errors.,3759,numpy/core/tests/test_deprecations.py
9b8f6c7,Sebastian Berg,2013-07-25 16:10:54,DEP: Deprecate that comparisons ignore errors.,3759,numpy/core/tests/test_multiarray.py
9b8f6c7,Sebastian Berg,2013-07-25 16:10:54,DEP: Deprecate that comparisons ignore errors.,3759,numpy/lib/polynomial.py
9b8f6c7,Sebastian Berg,2013-07-25 16:10:54,DEP: Deprecate that comparisons ignore errors.,3759,numpy/polynomial/polytemplate.py
19feb88,Charles Harris,2014-05-04 08:34:25,Merge pull request #4666 from ElDeveloper/issue-3488,3488
8bc4d45,Charles Harris,2014-05-04 06:18:21,BUG: Fix use of setuptools.command.install._install.,4664,numpy/distutils/command/install.py
31e969b,Yoshiki Vázquez Baeza,2014-05-04 00:29:37,DOC/FIX: Fix error in documentation,3488,numpy/lib/shape_base.py
be3f0b1,Charles Harris,2014-04-30 15:17:50,MAINT: Refactor numpy/polynomial/_polybase.py,4631,numpy/polynomial/_polybase.py
e24486e,Alex Stewart,2014-05-02 10:07:01,Fix for #4655: Make fftpack._raw_fft threadsafe,4655,numpy/fft/fftpack.py
dad468e,Charles Harris,2014-05-01 18:07:12,BUG: Fix memory leak.,4652
52d5d10,Charles Harris,2014-04-05 18:23:05,Merge pull request #4591 from szpy/bugfixes,650
0b02990,szpy,2014-04-05 18:04:09,BUG: Prevent division by zero. Closes #650.,650
06aafa5,Tim Burgess,2013-05-29 10:40:40,BUG: Fix for issue #3213,3213,numpy/ma/core.py
06aafa5,Tim Burgess,2013-05-29 10:40:40,BUG: Fix for issue #3213,3213,numpy/ma/tests/test_core.py
1eb81b7,Charles Harris,2014-03-21 14:53:18,"ENH, MAINT: Use an abstract base class for the polynomial classes.",634,numpy/polynomial/_polybase.py
1eb81b7,Charles Harris,2014-03-21 14:53:18,"ENH, MAINT: Use an abstract base class for the polynomial classes.",634,numpy/polynomial/chebyshev.py
1eb81b7,Charles Harris,2014-03-21 14:53:18,"ENH, MAINT: Use an abstract base class for the polynomial classes.",634,numpy/polynomial/hermite.py
1eb81b7,Charles Harris,2014-03-21 14:53:18,"ENH, MAINT: Use an abstract base class for the polynomial classes.",634,numpy/polynomial/hermite_e.py
1eb81b7,Charles Harris,2014-03-21 14:53:18,"ENH, MAINT: Use an abstract base class for the polynomial classes.",634,numpy/polynomial/laguerre.py
1eb81b7,Charles Harris,2014-03-21 14:53:18,"ENH, MAINT: Use an abstract base class for the polynomial classes.",634,numpy/polynomial/legendre.py
1eb81b7,Charles Harris,2014-03-21 14:53:18,"ENH, MAINT: Use an abstract base class for the polynomial classes.",634,numpy/polynomial/polynomial.py
c437672,Julian Taylor,2014-03-25 00:06:08,BUG: fix unaligned access of new indexing,4314,numpy/core/tests/test_indexing.py
123b319,Sebastian Berg,2014-02-24 15:22:44,ENH: Speed improvements and deprecations for np.select,3259,numpy/lib/function_base.py
123b319,Sebastian Berg,2014-02-24 15:22:44,ENH: Speed improvements and deprecations for np.select,3259,numpy/lib/tests/test_function_base.py
10e289c,Mark Wiebe,2014-03-16 20:40:23,BUG: Buffered stride was erroneously marked fixed (fixes #4485),4485
f8942f5,Daniel da Silva,2014-03-15 15:05:13,DOC: specify that 2d array must be non-empty in np.poly error message.,2092,numpy/lib/polynomial.py
a22bb0e,Daniel da Silva,2014-03-13 21:58:05,"BUG: Fix commutativity of {dot,multiply,inner}(scalar, matrix_of_objs)",2469,numpy/core/tests/test_multiarray.py
a22bb0e,Daniel da Silva,2014-03-13 21:58:05,"BUG: Fix commutativity of {dot,multiply,inner}(scalar, matrix_of_objs)",2469,numpy/core/tests/test_ufunc.py
dfe6c7e,Charles Harris,2014-03-13 09:20:32,Merge pull request #4473 from Sankarshan-Mudkavi/fix-gh-2208,2208
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/setup.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/testArray.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/testFarray.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/testFortran.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/testMatrix.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/testSuperTensor.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/testTensor.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,doc/swig/test/testVector.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/setup.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/testArray.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/testFarray.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/testFortran.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/testMatrix.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/testSuperTensor.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/testTensor.py
a38888c,Charles Harris,2014-03-12 11:19:40,MAINT: Move doc/swig to tools/swig.,2384,tools/swig/test/testVector.py
0c82f69,Sankarshan Mudkavi,2014-03-12 13:18:38,"Added tests for fix in alignment of subarrays, gh-2208",2208,numpy/core/tests/test_dtype.py
424b56e,Charles Harris,2014-03-12 08:16:57,Merge pull request #4479 from leomao/master,3285
3d419a1,LeoMao,2014-03-11 16:15:21,"when initialize a vectorize object, always set self._ufunc to None first. fix #3285",3285,numpy/lib/function_base.py
c1031bd,Daniel da Silva,2014-03-09 22:43:13,"ENH: Explicitly use __eq__ in assert_equal(a,b)",2552,numpy/testing/utils.py
1a977ac,Sankarshan Mudkavi,2014-03-07 14:54:52,"BUG: Fixes gh-2208, alignment in subarrays",2208
1dc0002,Charles Harris,2014-03-05 12:09:11,Merge pull request #4402 from meltingwax/meltingwax/4357,4357
460adc0,Daniel da Silva,2014-02-28 23:39:14,BUG: Fixes SystemError in dtype(user_defined_type).name,4357,numpy/core/tests/test_dtype.py
726937e,Daniel da Silva,2014-03-03 18:47:24,BUG: Fix deepcopy() of rank-zero arrays.,3311,numpy/core/tests/test_regression.py
e9afd40,Julian Taylor,2014-03-03 19:30:39,Merge pull request #4414 from mosessky/master,4354
53b17c5,Charles Harris,2014-03-02 14:41:31,BUG: DOC: Fix documentation build.,4346
76ecffa,Charles Harris,2014-03-01 20:29:56,Merge pull request #4401 from meltingwax/meltingwax/4359,4359
