awesome-java
awesome-machine-learning
awesome-python
big-list-of-naughty-strings
CommonMark
howdoi
legit
ngxtop
osx-gcc-installer
source-code-pro
c(
0.04,0.44,0.08,
0.13,0.31,0.18,
0.06,0.76,0.31,
0.17,0.60,0.40,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.50,0.67,0.50,
0.30,0.44,0.29,
0.07,0.33,0.14,
0.19,0.33,0.26,
0.00,0.00,0.00,
0.21,0.67,0.25,
0.06,0.61,0.23,
0.30,0.48,0.52,
0.27,0.51,0.37,
0.17,0.50,1.00,
0.21,0.66,0.57,
0.00,0.33,0.00,
0.02,0.39,0.05,
0.15,0.25,0.18,
0.19,0.38,0.33,
0.11,0.26,0.16,
0.27,0.45,0.40,
0.21,0.42,0.27,
0.09,0.67,0.24,
0.04,0.11,0.06,
0.20,0.50,1.00,
0.43,0.59,0.66,
0.08,0.18,0.09,
0.35,0.56,0.70,
0.26,0.40,0.48,
0.00,0.03,0.00,
0.22,0.46,0.46,
0.19,0.53,0.53,
0.50,0.67,1.00,
0.05,0.27,0.09,
0.04,0.32,0.12,
0.23,0.52,0.27,
0.00,0.00,0.00,
0.08,0.25,0.17,
0.75,0.69,0.86,
0.17,0.29,0.40,
0.14,0.43,0.26,
0.18,0.45,0.38,
0.24,0.55,0.37,
0.14,0.48,0.56,
0.24,0.41,0.38,
0.00,1.00,0.00,
0.18,0.40,0.25,
0.00,0.45,0.00,
0.11,0.51,0.33,
0.25,0.20,0.50,
0.06,0.21,0.11,
0.17,0.37,0.23,
0.42,0.56,0.58,
0.35,0.48,0.58,
0.06,0.15,0.12,
0.00,0.50,0.00,
0.17,0.44,0.36,
0.11,0.20,0.18,
0.25,0.41,0.33,
0.47,0.71,0.62,
0.00,0.00,0.00,
0.12,0.30,0.28,
0.23,0.81,0.50,
0.24,0.32,0.33,
0.17,0.52,0.45,
0.14,0.38,0.26,
0.50,0.50,0.67,
0.11,0.21,0.14,
0.24,0.34,0.38,
0.29,0.60,0.46,
0.50,0.83,0.50,
0.00,0.80,0.00,
0.35,0.61,0.68,
0.30,0.83,0.55,
0.23,0.39,0.42,
0.10,0.17,0.14,
0.21,0.34,0.43,
0.33,0.50,0.50,
0.34,0.79,0.71,
0.46,0.51,0.66,
0.14,0.33,0.16,
0.38,0.56,0.56,
0.19,0.37,0.32,
0.00,0.00,0.00,
0.00,0.20,0.00,
0.08,0.29,0.20,
0.33,0.38,0.53,
0.00,0.00,0.00,
0.00,0.33,0.00,
0.18,0.35,0.30,
0.07,0.40,0.16,
0.15,0.71,0.25,
0.24,0.47,0.41,
0.11,0.53,0.20,
0.07,0.23,0.12,
0.21,0.38,0.42,
0.28,0.37,0.47,
0.04,0.12,0.08,
0.26,0.39,0.41,
0.01,0.10,0.03,
0.46,0.64,0.88,
0.29,0.51,0.52,
0.13,0.35,0.26),
c(
0.11,0.14,0.05,
0.38,0.42,0.27,
0.05,0.13,0.15,
0.58,0.37,0.60,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.50,0.33,0.50,
0.07,0.13,0.02,
0.43,0.50,0.57,
0.17,0.21,0.12,
0.00,0.00,0.00,
0.18,0.13,0.10,
0.13,0.27,0.23,
0.45,0.51,0.39,
0.12,0.21,0.06,
0.50,0.50,0.00,
0.21,0.32,0.29,
0.00,0.67,0.00,
0.08,0.32,0.11,
0.18,0.26,0.13,
0.18,0.28,0.12,
0.18,0.29,0.08,
0.20,0.32,0.10,
0.26,0.28,0.16,
0.09,0.14,0.05,
0.28,0.47,0.18,
0.20,0.50,0.00,
0.24,0.36,0.25,
0.09,0.19,0.07,
0.30,0.44,0.20,
0.26,0.38,0.24,
0.02,0.09,0.00,
0.28,0.36,0.23,
0.12,0.32,0.20,
0.00,0.33,0.00,
0.58,0.58,0.53,
0.04,0.26,0.00,
0.27,0.34,0.12,
0.00,0.00,0.00,
0.17,0.38,0.08,
0.25,0.31,0.14,
0.00,0.29,0.00,
0.36,0.40,0.30,
0.06,0.36,0.12,
0.22,0.33,0.20,
0.15,0.38,0.11,
0.28,0.40,0.27,
0.00,0.00,0.00,
0.06,0.15,0.00,
0.09,0.15,0.06,
0.08,0.24,0.05,
0.75,0.80,0.50,
0.22,0.47,0.22,
0.23,0.30,0.19,
0.29,0.32,0.20,
0.55,0.52,0.42,
0.31,0.77,0.62,
0.00,0.50,0.00,
0.13,0.27,0.14,
0.45,0.56,0.41,
0.28,0.35,0.20,
0.11,0.14,0.08,
0.00,0.00,0.00,
0.35,0.57,0.37,
0.00,0.14,0.00,
0.31,0.45,0.23,
0.20,0.42,0.36,
0.15,0.26,0.12,
0.50,0.50,0.33,
0.14,0.22,0.10,
0.37,0.37,0.25,
0.15,0.21,0.10,
0.00,0.00,0.00,
0.50,0.20,0.00,
0.24,0.32,0.20,
0.20,0.10,0.00,
0.41,0.35,0.42,
0.39,0.53,0.31,
0.32,0.43,0.29,
0.40,0.43,0.29,
0.02,0.06,0.01,
0.33,0.44,0.23,
0.07,0.12,0.03,
0.31,0.39,0.22,
0.36,0.49,0.32,
0.00,1.00,0.00,
1.00,0.80,1.00,
0.27,0.54,0.44,
0.62,0.62,0.47,
0.14,1.00,1.00,
0.67,0.67,1.00,
0.50,0.53,0.50,
0.07,0.20,0.11,
0.00,0.00,0.00,
0.23,0.23,0.14,
0.33,0.29,0.20,
0.09,0.10,0.07,
0.17,0.38,0.15,
0.32,0.35,0.24,
0.31,0.65,0.38,
0.04,0.16,0.00,
0.26,0.57,0.23,
0.02,0.05,0.03,
0.20,0.34,0.15,
0.20,0.41,0.25),
c(
0.11,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.02,0.00,0.00,
0.00,0.00,0.00,
0.03,0.00,0.00,
0.17,0.06,0.15,
0.00,0.00,0.00,
0.05,0.00,0.01,
0.00,0.00,0.00,
0.47,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.02,0.00,0.01,
0.01,0.00,0.00,
0.00,0.00,0.00,
0.03,0.00,0.01,
0.01,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.01,0.00,0.00,
0.00,0.00,0.00,
0.11,0.00,0.00,
0.01,0.00,0.00,
0.00,0.00,0.00,
0.21,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.04,0.00,0.00,
