hash,author,date,title,file
412263a,Steven Bird,2015-05-24 19:59:47,"fixing doctest errors, cf #981",nltk/tgrep.py
8565959,Steven Bird,2015-05-24 19:23:01,resolve merge conflict
81d338b,Avital Pekker,2015-05-19 20:01:30,* Added check for language support prior to n-gram file load attempt. * Minor changes in error-message wordings. * Updated Doctest to reflect new corpus reader structure.,nltk/corpus/reader/crubadan.py
af059ef,Steven Bird,2015-05-18 16:00:53,fix merge conflict
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/align/ibm1.py
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/align/ibm2.py
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/classify/tadm.py
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/classify/textcat.py
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/corpus/reader/crubadan.py
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/parse/malt.py
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/parse/nonprojectivedependencyparser.py
e7ba308,Steven Bird,2015-05-18 15:58:18,"stylistic fixes, cleaned imports, fixed cyclic imports",nltk/parse/transitionparser.py
e7e3112,Steven Bird,2015-05-18 14:41:07,fixed filename
92e5fca,Steven Bird,2015-05-18 14:38:39,Merge pull request #927 from avitalp/crubadan
867000b,Steven Bird,2015-05-18 13:45:33,"added gensim example, cf #971"
c9e836a,Steven Bird,2015-05-18 13:20:49,Merge pull request #966 from dimazest/dep-parser-warn
1e0d1f5,Steven Bird,2015-05-18 13:13:59,"always import pylab from matplotlib, resolves #970",nltk/app/__init__.py
1e0d1f5,Steven Bird,2015-05-18 13:13:59,"always import pylab from matplotlib, resolves #970",nltk/app/wordfreq_app.py
1e0d1f5,Steven Bird,2015-05-18 13:13:59,"always import pylab from matplotlib, resolves #970",nltk/draw/dispersion.py
1e0d1f5,Steven Bird,2015-05-18 13:13:59,"always import pylab from matplotlib, resolves #970",nltk/parse/dependencygraph.py
1e0d1f5,Steven Bird,2015-05-18 13:13:59,"always import pylab from matplotlib, resolves #970",nltk/probability.py
1e0d1f5,Steven Bird,2015-05-18 13:13:59,"always import pylab from matplotlib, resolves #970",nltk/tokenize/texttiling.py
408589b,Steven Bird,2015-05-18 12:38:18,added interface to PanLex Swadesh corpora,nltk/corpus/__init__.py
7caf6df,Steven Bird,2015-05-13 07:32:59,"corrected use of next(), resolves #977",nltk/metrics/agreement.py
92ba711,Steven Bird,2015-05-12 16:14:34,Merge pull request #975 from longdt219/MT_visualization
851304a,Steven Bird,2015-05-12 16:09:29,Modified tgrep API for greater consistency with NLTK:,nltk/tgrep.py
d1b3da0,Steven Bird,2015-05-12 15:30:23,Merge pull request #964 from wroberts/tgrep_treelist
226624b,Avital Pekker,2015-05-11 23:30:02,* Small correction to corpus reader to make it work on Python 2 and 3   where split(' ') attempts to read lines from n-gram files.,nltk/corpus/reader/crubadan.py
d72c69d,Long Duong,2015-05-08 18:26:35,Add MT Visualization,nltk/align/api.py
2288eec,Steven Bird,2015-05-07 10:47:12,Merge pull request #972 from nschneid/patch-15
f5ca022,Steven Bird,2015-05-07 10:00:35,Merge pull request #974 from longdt219/find_jar_file_bug
a68aeaf,Long Duong,2015-05-07 09:47:49,Fix bug #963 finding jar files,nltk/internals.py
c1974d1,nschneid,2015-05-06 14:31:15,a couple of bug fixes in dependencygraph.py,nltk/parse/dependencygraph.py
68d4ffd,Steven Bird,2015-05-06 12:01:16,simplify import statements in doctest examples,nltk/tag/crf.py
68d4ffd,Steven Bird,2015-05-06 12:01:16,simplify import statements in doctest examples,nltk/tag/hunpos.py
6d74ec2,Steven Bird,2015-05-06 09:02:59,"add support to default pos tagger for selecting tagset, in support of nltk/nltk_book#133",nltk/tag/__init__.py
fe6c1d8,Avital Pekker,2015-05-01 01:45:55,"* Python 3 compatibility changes to corpus reader: file open * Python 3 compatibility changes to TextCat module: max integer * Multiple changes in both corpus reader and TextCat module to   make language detection work on unicode instead of bytestrings * Removed own version of trigrams in TextCat module, now using   one from nltk.util",nltk/classify/textcat.py
fe6c1d8,Avital Pekker,2015-05-01 01:45:55,"* Python 3 compatibility changes to corpus reader: file open * Python 3 compatibility changes to TextCat module: max integer * Multiple changes in both corpus reader and TextCat module to   make language detection work on unicode instead of bytestrings * Removed own version of trigrams in TextCat module, now using   one from nltk.util",nltk/corpus/reader/crubadan.py
c856609,Dmitrijs Milajevs,2015-04-28 09:51:10,"Warn a user when there is no ROOT node, instead of throwing an exception.",nltk/parse/dependencygraph.py
0ec263f,Will Roberts,2015-04-27 14:28:17,tgrep: add some comments,nltk/tgrep.py
44f9d31,Will Roberts,2015-04-27 14:15:02,tgrep: tgrep_nodes and tgrep_positions support iterables,nltk/tgrep.py
97bb348,Will Roberts,2015-04-27 14:02:52,tgrep: tgrep_nodes and tgrep_positions also support generators,nltk/tgrep.py
28ec678,Will Roberts,2015-04-27 13:51:39,tgrep bug: nltk.tree.Tree derives from list,nltk/tgrep.py
d8a2020,Will Roberts,2015-04-27 13:36:54,tgrep: tgrep_positions and tgrep_nodes can take lists of trees,nltk/tgrep.py
2c4d762,Steven Bird,2015-04-27 17:04:31,fix whitespace indentation for PEP-8 conformity,nltk/__init__.py
3ca1cc6,Steven Bird,2015-04-27 16:59:50,Merge pull request #933 from sadovnychyi/develop
35cbe3f,Steven Bird,2015-04-27 16:23:58,corrected module name in docstring,nltk/tgrep.py
e5934cb,Steven Bird,2015-04-27 15:58:22,Merge pull request #961 from wroberts/tgrep_moddoc
190673c,Steven Bird,2015-04-26 11:24:33,Update filenames and locations to track changes in Stanford tools; change names POSTagger->StanfordPOSTagger and NERTagger to StanfordNERTagger; fix package level imports to include the taggers,nltk/tag/__init__.py
190673c,Steven Bird,2015-04-26 11:24:33,Update filenames and locations to track changes in Stanford tools; change names POSTagger->StanfordPOSTagger and NERTagger to StanfordNERTagger; fix package level imports to include the taggers,nltk/tag/stanford.py
b3a357e,Steven Bird,2015-04-26 11:22:33,tweak error message,nltk/internals.py
24ceb07,Will Roberts,2015-04-24 13:26:47,nltk/tgrep.py: run module doctests,nltk/tgrep.py
3dc0a79,Will Roberts,2015-04-24 13:26:33,nltk/tgrep.py: include README in module docstring,nltk/tgrep.py
052ed0e,Steven Bird,2015-04-23 19:40:37,Merge pull request #953 from wroberts/nltk_tgrep
ca9ae08,Steven Bird,2015-04-20 18:54:01,Merge pull request #954 from longdt219/fix_trans_parser
6f07007,Long Duong,2015-04-20 18:38:51,Fix bug shown in jenkin server ...,nltk/parse/transitionparser.py
48dbd02,Dmitry Sadovnychyi,2015-04-20 15:08:54,Raise an exception if subprocess is not available,nltk/__init__.py
a7a9cdd,Will Roberts,2015-04-19 14:56:28,test_tgrep: standard NLTK copyright header comment,nltk/test/unit/test_tgrep.py
ca2ac7a,Will Roberts,2015-04-19 14:56:01,tgrep: standard NLTK copyright header comment,nltk/tgrep.py
c6929a3,Steven Bird,2015-04-19 09:51:59,"test that GT estimate < observed frequency, resolves #938",nltk/probability.py
885f9b5,Steven Bird,2015-04-19 09:48:04,Merge branch 'develop' of https://github.com/smilli/nltk into develop
8fe038e,Will Roberts,2015-04-18 19:00:47,tgrep: rename nltk_tgrep to nltk.tgrep,nltk/test/unit/test_tgrep.py
8fe038e,Will Roberts,2015-04-18 19:00:47,tgrep: rename nltk_tgrep to nltk.tgrep,nltk/tgrep.py
ed9daf4,Will Roberts,2015-04-18 18:59:58,nltk.tgrep: note github username in module docstrings,nltk/test/unit/test_tgrep.py
ed9daf4,Will Roberts,2015-04-18 18:59:58,nltk.tgrep: note github username in module docstrings,nltk/tgrep.py
d5f875e,Will Roberts,2015-04-18 17:54:00,add pyparsing to pip-req.txt
be50691,Will Roberts,2015-04-18 17:53:07,tgrep: switch from future to nltk.compat,nltk/tgrep.py
89a432f,Will Roberts,2015-04-18 17:52:29,test_tgrep: switch from future to nltk.compat,nltk/test/unit/test_tgrep.py
b98dd6a,Will Roberts,2015-04-18 17:45:50,tgrep: absolute_import,nltk/tgrep.py
1722431,Will Roberts,2015-04-18 17:44:51,tgrep: strip LICENSE,nltk/tgrep.py
cb49888,Will Roberts,2015-04-18 17:44:39,test_tgrep.py: fix import,nltk/test/unit/test_tgrep.py
d0ef5d9,Will Roberts,2015-04-18 17:33:04,Merge branch 'develop' into nltk_tgrep
a5b700d,Will Roberts,2015-04-17 21:00:52,relax strict requirement of `future` and `pyparsing` packages,nltk/test/unit/test_tgrep.py
a5b700d,Will Roberts,2015-04-17 21:00:52,relax strict requirement of `future` and `pyparsing` packages,nltk/tgrep.py
8e20c8e,Will Roberts,2015-04-17 20:48:15,test_tgrep: pylint cleanups,nltk/test/unit/test_tgrep.py
6f93c5f,Will Roberts,2015-04-17 20:48:08,tgrep: pylint cleanups,nltk/tgrep.py
c2fe80a,Will Roberts,2015-04-17 20:21:37,tgrep.tgrep_exprs: pass test_trailing_semicolon,nltk/tgrep.py
0204f0e,Will Roberts,2015-04-17 20:01:55,test_tgrep: test_trailing_semicolon,nltk/test/unit/test_tgrep.py
dd37fa6,Will Roberts,2015-04-17 19:51:34,tgrep: docstring into pattern_segment_pred inner func,nltk/tgrep.py
45c3a42,Will Roberts,2015-04-17 19:49:49,tgrep: finish module docstring,nltk/tgrep.py
1b69d1a,Will Roberts,2015-04-17 19:27:21,test_tgrep: remove unicode literals for py32 compat,nltk/test/unit/test_tgrep.py
d75c883,Will Roberts,2015-04-17 19:22:12,tgrep._tgrep_node_label_pred_use_action: typo,nltk/tgrep.py
ca112ac,Will Roberts,2015-04-17 19:21:06,tgrep._tgrep_bind_node_label_action (undo mistake from 5291d61),nltk/tgrep.py
1c71254,Will Roberts,2015-04-17 19:12:06,tgrep: remove old TODO comment,nltk/tgrep.py
1ce833d,Will Roberts,2015-04-17 19:11:59,tgrep._tgrep_node_label_pred_use_action,nltk/tgrep.py
8e83b0c,Will Roberts,2015-04-17 19:11:20,tgrep: _tgrep_label_node_action is redundant w _tgrep_conjunction_action,nltk/tgrep.py
bf9e0b3,Will Roberts,2015-04-17 19:10:54,tgrep: docstrings for some parse actions,nltk/tgrep.py
bc2cdd8,Will Roberts,2015-04-17 18:45:12,tgrep._tgrep_exprs_action: always return a function,nltk/tgrep.py
2f82b29,Will Roberts,2015-04-17 18:44:54,tgrep: add the `l` arg to lambda functions everywhere,nltk/tgrep.py
c7294ff,Will Roberts,2015-04-17 18:31:19,tgrep._tgrep_exprs_action: docstring,nltk/tgrep.py
5b4c8a8,Will Roberts,2015-04-17 18:29:45,tgrep: handle label_dict in _tgrep_exprs_action,nltk/tgrep.py
f16e16b,Will Roberts,2015-04-17 18:29:26,tgrep: rough out _tgrep_segmented_pattern_action,nltk/tgrep.py
